Word|Definition|Sentence|Mnemonic|Tag
cell|细胞；电池；蜂房的巢室；单人小室i. 住在牢房或小室中|The cell is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cement|水泥；接合剂巩固，加强；用水泥涂；接合i. 粘牢|The cement is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cemetery|墓地；公墓|The cemetery is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cent|分；一分的硬币；森特（等于半音程的百分之一）|She bought a new cent yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
centigrade|摄氏的； 摄氏温度的；百分度的|She felt centigrade after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
centimetre|厘米；公分|This centimetre helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
centimeter|厘米； 公分|This centimeter helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
central|电话总机中心的；主要的；中枢的|The central is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
centre|中心中央的集中；将…放在中央i. 以…为中心|She bought a new centre yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
center|中心，中央；中锋；中心点中央的，位在正中的集中，使聚集在一点；定中心i. 居中，被置于中心|She bought a new center yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
century|世纪，百年；（板球）一百分|The century is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
ceremony|典礼，仪式；礼节，礼仪；客套，虚礼|This ceremony helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
certain|某一；必然的；确信；无疑的；有把握的某些；某几个|She bought a new certain yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
certainly|当然；行（用于回答）；必定|She finished her homework certainly.|联想记忆：结合语境多读多用！|Gaokao-Core
certificate|证书；执照，文凭发给证明书；以证书形式授权给…；用证书批准|She bought a new certificate yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chain|链；束缚；枷锁束缚；囚禁；用铁链锁住|She bought a new chain yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chair|椅子；讲座；（会议的）主席位；大学教授的职位担任（会议的）主席；使…入座；使就任要职|She bought a new chair yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chairman|主席，会长；董事长|The chairman is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chalk|粉笔；白垩；用粉笔划的记号用粉笔写的用粉笔写；用白垩粉擦；记录；规划i. 变成白垩状|This chalk helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
challenge|挑战；怀疑向…挑战；对…质疑|She bought a new challenge yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
champion|冠军；拥护者；战士优胜的；第一流的支持；拥护|The champion is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
championship|锦标赛；冠军称号；冠军的地位|The championship is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chance|机会，际遇；运气，侥幸；可能性偶然发生；冒……的险i. 碰巧；偶然被发现|This chance helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
change|变化；找回的零钱改变；交换i. 改变；兑换|The change is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
changeable|无常的；可改变的；易变的；不定的|The movie was quite changeable.|联想记忆：结合语境多读多用！|Gaokao-Core
channel|通道；频道；海峡引导，开导；形成河道|She bought a new channel yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chapter|章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期把…分成章节|The chapter is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
character|性格，品质；特性；角色； 字符印，刻；使具有特征|She bought a new character yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
characteristic|特征；特性；特色典型的；特有的；表示特性的|The characteristic is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
charge|费用；电荷；掌管；控告；命令；负载使充电；使承担；指责；装载；对…索费；向…冲去i. 充电；控告；索价；向前冲；记在账上|This charge helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
charity|慈善；施舍；慈善团体；宽容；施舍物|The charity is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
charm|魅力，吸引力；魔力使陶醉；行魔法i. 有魔力；用符咒|She bought a new charm yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
charming|迷人的；可爱的使陶醉（charm的现在分词）|She felt charming after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
chart|图表；海图；图纸；排行榜绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展|This chart helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
chase|追逐；追赶；追击追逐；追捕；试图赢得；雕镂i. 追逐；追赶；奔跑|The chase is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chat|聊天；闲谈与…搭讪；与…攀谈i. 聊天；闲谈|She bought a new chat yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cheap|便宜的；小气的；不值钱的便宜地|She felt cheap after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
cheat|欺骗，作弊；骗子欺骗；骗取i. 欺骗；作弊|This cheat helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
check|<美>支票；制止，抑制；检验，核对i. 核实，查核；中止；打勾；将一军检查，核对；制止，抑制；在…上打勾|This check helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
checkout|检验；签出；结账台；检出|The checkout is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cheek|面颊，脸颊；臀部无礼地向…讲话，对…大胆无礼|The cheek is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cheer|欢呼；愉快；心情；令人愉快的事欢呼；使高兴；为…加油i. 欢呼；感到高兴|The cheer is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cheerful|快乐的；愉快的；高兴的|It was a very cheerful day.|联想记忆：结合语境多读多用！|Gaokao-Core
cheese|奶酪；干酪；要人叛变的；胆小的停止|This cheese helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
chemical|化学制品，化学药品化学的|She bought a new chemical yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chemist|化学家；化学工作者；药剂师；炼金术士|She bought a new chemist yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chemistry|化学；化学过程|She bought a new chemistry yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cheque|支票|The cheque is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chess|国际象棋，西洋棋|The chess is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chest|胸，胸部；衣柜；箱子；金库|This chest helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
chew|咀嚼；咀嚼物i. 细想，深思嚼碎，咀嚼|The chew is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chicken|鸡肉；小鸡；胆小鬼，懦夫鸡肉的；胆怯的；幼小的|The chicken is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chief|首领；酋长；主要部分首席的；主要的；主任的主要地；首要地|She bought a new chief yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
child|儿童，小孩，孩子；产物；子孙；幼稚的人；弟子|She bought a new child yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
childbirth|分娩|This childbirth helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
childhood|童年时期；幼年时代|The childhood is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
childish|幼稚的，孩子气的|She felt childish after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
chill|寒冷；寒意；寒心冷冻，冷藏；使寒心；使感到冷寒冷的；冷漠的；扫兴的i. 冷藏；变冷|The chill is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
chimney|烟囱|This chimney helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
china||This china helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
chip|芯片；筹码；碎片；(食物的) 小片; 薄片削，凿；削成碎片i. 剥落；碎裂|This chip helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
chocolate|巧克力，巧克力糖；巧克力色巧克力色的；巧克力口味的|The chocolate is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
choice|选择；选择权；精选品精选的；仔细推敲的|The choice is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
choose|选择，决定i. 选择，挑选|He always chooses on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
chop|砍；排骨；商标；削球 (俚)丑人剁碎；砍|She bought a new chop yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
chopsticks|筷子|She bought a new chopsticks yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
Christian|基督徒，信徒基督教的；信基督教的|This Christian helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
Christmas|圣诞节；圣诞节期间|The Christmas is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
church|教堂；礼拜；教派教会的；礼拜的领…到教堂接受宗教仪式|The church is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cigar|雪茄|This cigar helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
cigarette|香烟；纸烟|The cigarette is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
cinema|电影；电影院；电影业，电影制作术|The cinema is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
circle|循环，周期；圆；圈子；圆形物画圆圈；环绕…移动i. 盘旋，旋转；环行|The circle is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
circular|通知，传单循环的；圆形的；间接的|The circular is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
circumstance|环境，情况；事件；境遇|This circumstance helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
citizen|公民；市民；老百姓|This citizen helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
city|城市，都市城市的；都会的|She bought a new city yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
civil|公民的；民间的；文职的；有礼貌的；根据民法的|She felt civil after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
civilian|平民，百姓民用的；百姓的，平民的|She bought a new civilian yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
civilization|文明；文化|This civilization helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
civilize|使文明；教化；使开化i. 变得文明|He always civilizes on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
claim|要求；声称；索赔；断言；值得要求；声称；需要；认领i. 提出要求|The claim is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clap|鼓掌；拍手声拍手，鼓掌；轻轻拍打某人i. 鼓掌，拍手；啪地关上|The clap is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
class|阶级；班级；种类；班；等级极好的；很好的，优秀的，出色的分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级i. 属于…类（或等级），被列为某类（或某级）|The class is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
classic|名著；经典著作；大艺术家经典的；古典的，传统的；最优秀的|The classic is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
classical|古典音乐古典的；经典的；传统的；第一流的|The classical is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
classify|分类；分等|They classify together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
classmate|同班同学|She bought a new classmate yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
classroom|教室|This classroom helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
clay|粘土；泥土；肉体；似黏土的东西用黏土处理|The clay is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clean|打扫清洁的，干净的；清白的使干净i. 打扫，清扫完全地|This clean helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
cleaner|清洁剂；清洁工；干洗店；干洗商；洗洁器|The cleaner is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clear|清除；空隙清楚的；清澈的；晴朗的；无罪的通过；清除；使干净；跳过i. 放晴；变清澈清晰地；完全地|The clear is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clerk|职员，办事员；店员；书记；记账员；<古>牧师，教士i. 当销售员，当店员；当职员|This clerk helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
clever|聪明的；机灵的；熟练的|She felt clever after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
click|单击；滴答声i. 作咔哒声点击；使发咔哒声|She bought a new click yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cliff|悬崖；绝壁|This cliff helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
climate|气候；风气；思潮；风土|The climate is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
climb|爬；攀登i. 爬；攀登；上升爬；攀登；上升|The climb is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
climber|登山者；攀缘植物；尽力改善自己社会地位的人|The climber is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clinic|临床；诊所|The clinic is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clock|时钟；计时器记录；记时i. 打卡；记录时间|The clock is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clone|克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物无性繁殖，复制|She bought a new clone yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
close|结束紧密的；亲密的；亲近的关；结束；使靠近i. 关；结束；关闭紧密地|She bought a new close yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cloth|布；织物；桌布布制的|This cloth helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
clothes|衣服|She bought a new clothes yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
clothing|（总称） 服装；帆装覆盖（clothe的ing形式）；给…穿衣|She bought a new clothing yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cloud|云；阴云；云状物；一大群；黑斑使混乱；以云遮敝；使忧郁；玷污i. 阴沉；乌云密布|She bought a new cloud yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
cloudy|多云的；阴天的；愁容满面的|She felt cloudy after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
club|俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花俱乐部的用棍棒打；募集i. 集资；组成俱乐部|The club is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
clue|线索；（故事等的）情节为…提供线索；为…提供情况|The clue is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
coach|教练；旅客车厢；长途公车；四轮大马车训练；指导i. 作指导；接受辅导；坐马车旅行蔻驰（皮革品牌）|She bought a new coach yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
coal|煤；煤块；木炭给…加煤；把…烧成炭i. 上煤；加煤|This coal helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
coast|海岸；滑坡沿…岸航行i. 滑行；沿岸航行|She bought a new coast yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
coat|外套覆盖…的表面|This coat helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
cock|公鸡；龙头；雄鸟；头目使竖起；使耸立；使朝上i. 翘起；竖起；大摇大摆|She bought a new cock yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
code|代码，密码；编码；法典编码；制成法典i. 指定遗传密码|This code helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
coffee|咖啡；咖啡豆；咖啡色|The coffee is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
coin|硬币，钱币铸造（货币）；杜撰，创造|This coin helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
coincidence|巧合；一致；同时发生|She bought a new coincidence yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
Coke||This Coke helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
cold|寒冷；感冒寒冷的；冷淡的，不热情的；失去知觉的完全地|The cold is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
collapse|倒塌；失败；衰竭使倒塌，使崩溃；使萎陷；折叠i. 倒塌；瓦解；暴跌|The collapse is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
collar|衣领；颈圈抓住；给…上领子；给…套上颈圈|The collar is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
colleague|同事，同僚|This colleague helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
collect|收集；募捐由收件人付款的i. 收集；聚集；募捐由收件人付款地|Don't collected your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
collection|采集，聚集； 征收；收藏品；募捐|She bought a new collection yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
college|大学；学院；学会|This college helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
colony|殖民地；移民队；种群；动物栖息地|She bought a new colony yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
color|颜色；肤色；颜料；脸色粉饰；给...涂颜色；歪曲i. 变色；获得颜色|She bought a new color yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
colour|颜色；风格；气色，面色；外貌把…涂颜色，粉饰；歪曲；使脸红i. 变色|She bought a new colour yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
coloured|混血人；有色人种的人有色的；着色的给…着色（colour的过去式和过去分词）|She bought a new coloured yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
column|纵队，列；专栏；圆柱，柱形物|This column helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
comb|梳子；蜂巢；鸡冠梳头发；梳毛i. （浪）涌起|The comb is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
combination|结合；组合；联合； 化合|She bought a new combination yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
combine|联合收割机；联合企业使化合；使联合，使结合i. 联合，结合；化合|This combine helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
come|i. 来；开始；出现；发生；变成；到达做；假装；将满（…岁）嗨！|They come together every morning.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comedian|喜剧演员；滑稽人物|She bought a new comedian yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comedy|喜剧；喜剧性；有趣的事情|The comedy is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comfort|安慰；舒适；安慰者安慰；使（痛苦等）缓和|The comfort is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comfortable|盖被舒适的，舒服的|The comfortable is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
command|指挥，控制；命令；司令部命令，指挥；控制；远望i. 命令，指挥；控制|This command helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
commander|指挥官；司令官|This commander helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comment|评论；意见；批评i. 发表评论；发表意见为…作评语|This comment helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
commerce|贸易；商业；商务|This commerce helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
commercial|商业广告商业的；营利的；靠广告收入的|The commercial is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
commit|犯罪，做错事；把...交托给；指派…作战；使…承担义务|He always commits on weekends.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
committee|委员会|The committee is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
common|普通；平民；公有地共同的；普通的；一般的；通常的|The common is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
communicate|i. 通讯，传达；相通；交流；感染传达；感染；显露|Don't communicateed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
communication|通讯， 通信；交流；信函|She bought a new communication yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
communist|共产党员；共产主义者共产主义的|She bought a new communist yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
community|社区； 群落；共同体；团体|The community is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
companion|同伴；朋友；指南；手册陪伴|She bought a new companion yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
company|公司；陪伴，同伴；连队陪伴i. 交往|She bought a new company yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comparative|比较级；对手比较的；相当的|She bought a new comparative yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compare|i. 相比，匹敌；比较，区别；比拟（常与to连用）比拟，喻为；构成比较|This compare helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comparison|比较；对照；比喻；比较关系|The comparison is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compete|i. 竞争；比赛；对抗|Don't competeed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
competition|竞争；比赛，竞赛|She bought a new competition yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
competitive|竞争的；比赛的；求胜心切的|She felt competitive after the long journey.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
complain|i. 投诉；发牢骚；诉说抱怨；控诉|He always complains on weekends.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
complaint|抱怨；诉苦；疾病；委屈|This complaint helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
complete|完整的；完全的；彻底的完成|Don't completeed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
complex|复合体；综合设施复杂的；合成的|She bought a new complex yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
complicated|难懂的，复杂的|She felt complicated after the long journey.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compliment|恭维；称赞；问候；致意；道贺恭维；称赞|The compliment is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compose|构成；写作；使平静；排…的版i. 组成；作曲；排字|Don't composeed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
composer|作曲家；作家，著作者；设计者|The composer is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
composition|作文，作曲，作品； 构成；合成物；成分|The composition is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compound|化合物；混合物；复合词复合的；混合的合成；混合；恶化，加重；和解，妥协|The compound is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comprehension|理解；包含|The comprehension is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
comprehensive|综合学校；专业综合测验综合的；广泛的；有理解力的|The comprehensive is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
compute|计算；估计；推断计算；估算；用计算机计算i. 计算；估算；推断|This compute helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
computer|计算机；电脑；电子计算机|This computer helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conceal|隐藏；隐瞒|Don't concealed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concentrate|浓缩，精选；浓缩液i. 集中；浓缩；全神贯注；聚集集中；浓缩|The concentrate is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concentration|浓度；集中；浓缩；专心；集合|The concentration is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concept|观念，概念|This concept helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concern|关系；关心；关心的事；忧虑涉及，关系到；使担心|The concern is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concert|音乐会；一致；和谐音乐会用的；在音乐会上演出的使协调；协同安排i. 协调；协力|The concert is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conclude|i. 推断；断定；决定推断；决定，作结论；结束|They conclude together every morning.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conclusion|结论；结局；推论|The conclusion is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
concrete|具体物；凝结物混凝土的；实在的，具体的；有形的使凝固；用混凝土修筑i. 凝结|The concrete is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
condition|条件；情况；环境；身份决定；使适应；使健康；以…为条件|This condition helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conduct|进行；行为；实施i. 导电；带领管理；引导；表现|The conduct is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conductor|导体；售票员；领导者；管理人|She bought a new conductor yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conference|会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会i. 举行或参加（系列）会议|This conference helps us understand the world better.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
confess|i. 承认；坦白；忏悔；供认承认；坦白；忏悔；供认|Don't confessed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
confidence|信心；信任；秘密（美）诈骗的；骗得信任的|She bought a new confidence yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
confident|自信的；确信的|She felt confident after the long journey.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
confirm|确认；确定；证实；批准；使巩固|Don't confirmed your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conflict|冲突，矛盾；斗争；争执i. 冲突，抵触；争执；战斗|She bought a new conflict yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
confuse|使混乱；使困惑|They confuse together every morning.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
congratulate|祝贺；恭喜；庆贺|He always congratulates on weekends.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
congratulation|祝贺；贺辞|She bought a new congratulation yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
congress|国会；代表大会；会议；社交|She bought a new congress yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
connect|连接；联合；关连i. 连接，连结；联合|Don't connected your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conquer|战胜，征服；攻克，攻取i. 胜利；得胜|He always conquers on weekends.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conscience|道德心，良心|She bought a new conscience yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
conscious|意识到的；故意的；神志清醒的|She felt conscious after the long journey.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
consequence|结果；重要性；推论|The consequence is very important in daily life.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
consider|i. 考虑；认为；细想考虑；认为；考虑到；细想|They consider together every morning.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
considerate|体贴的；体谅的；考虑周到的|The movie was quite considerate.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
consist|i. 由…组成；在于；符合|Don't consisted your time on useless things.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
constant|常数；恒量不变的；恒定的；经常的|She bought a new constant yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
construct|构想，概念建造，构造；创立|She bought a new construct yesterday.|com-/con- 表示“共同”，如 connect（连接）|Gaokao-Core
